                     %Re                     obs                      az                       s                guesserr                   error     directory
               238.59836               1.4994267          -4.1335176e-13              0.71576781           1.0522048e-05           2.6375535e-15   search-34/
               248.90922               1.4887514          -8.4022971e-13              0.76767429           1.1803765e-05           5.5616387e-15   search-35/
               259.24522               1.4794632           4.4406694e-14              0.81962051           1.0923584e-05           3.3464448e-15   search-36/
               270.96102               1.4702783          -1.7271258e-14              0.87842929           1.2197112e-05           3.1795255e-15   search-37/
               282.69202                1.462218          -4.1130574e-13              0.93726112           1.1908466e-05           1.4916277e-14   search-38/
               294.43364                1.455065          -7.1293103e-15              0.99610837           1.1580345e-05           6.4239403e-15   search-39/
               306.18279               1.4486563           1.0010346e-14               1.0549658           1.1485235e-05           5.7388407e-15   search-40/
               317.93745               1.4428674           2.1797122e-13               1.1138302           1.2012163e-05             1.10939e-14   search-41/
               329.69623               1.4376015           2.3858354e-13               1.1726995           1.3105155e-05           5.6777728e-15   search-42/
               341.45816                1.432782          -6.4495114e-13               1.2315722           1.4772929e-05           7.0183923e-15   search-43/
               353.22254               1.4283472           3.4100203e-12               1.2904475           1.7084635e-05           1.1782674e-14   search-44/
                363.6873               1.4246856          -9.2822626e-13               1.3428123           1.6287576e-05           2.6909315e-15   search-45/
                374.1533               1.4212593           6.0955094e-13               1.3951781           1.7599632e-05           1.2203128e-14   search-46/
               383.43359               1.4183982           7.2309498e-13               1.4416078           1.6340495e-05           4.6400417e-15   search-47/
               392.71456               1.4156876           8.6306998e-13               1.4880379           1.7771228e-05           7.0007434e-15   search-48/
               400.90365               1.4134105          -2.4695447e-12               1.5290036           1.6433796e-05           5.4873787e-15   search-49/
               409.09313               1.4112324          -2.5967216e-12               1.5699696           1.7865578e-05           7.5665793e-15   search-50/
                   199.9               1.7688299             0.065965577                       0                       0           1.3975943e-15  ./initial-2/
                     200               1.7684615             0.065964143                       0                       0           4.5462147e-14  ./initial-1/
                   200.1               1.7680937             0.065962489                       0                       0           1.8145402e-15  ./initial-0/
               210.94618               1.7315938             0.064773159             0.058567165           1.3182839e-05           7.1887465e-15   search-0/
               217.57275               1.7122244             0.063408779             0.093463403           1.6987267e-05           8.3123198e-15   search-1/
               224.27725               1.6945183             0.061783552              0.12844911           1.4345488e-05           5.5932282e-15   search-2/
               232.06509               1.6759743             0.059745473              0.16877547           1.1965535e-05           1.0604176e-14   search-3/
               239.91705               1.6591134             0.057640195               0.2091764           1.1023783e-05           2.8728165e-15   search-4/
               248.94208               1.6415937             0.055248753               0.2553762           1.2070323e-05           8.0015039e-15   search-5/
               258.01624               1.6256057             0.052931143              0.30163894           1.0897785e-05           2.6255807e-15   search-6/
               268.51752               1.6087348              0.05039526              0.35500498           1.1940155e-05           4.9223065e-15   search-7/
               279.05508               1.5932189             0.048023819              0.40841829           1.0719603e-05           3.3240044e-15   search-8/
               291.32753               1.5765757             0.045481009              0.47049802            1.182908e-05           5.9443761e-15   search-9/
               303.62701               1.5611408             0.043157008              0.53261169           1.0591102e-05           1.0416055e-14   search-10/
               318.01633               1.5443626             0.040698631              0.60518113           1.1751961e-05           1.8348623e-14   search-11/
               332.42658               1.5286906             0.038487979              0.67777533           1.0498208e-05           6.8707164e-15   search-12/
               349.34821               1.5114654             0.036172345              0.76294229           1.1690498e-05           2.0313064e-14   search-13/
               366.28672               1.4952619             0.034116359              0.84812902           1.0408812e-05           4.6357509e-15   search-14/
               386.18722               1.4772768             0.031986136               0.9481499           1.1538279e-05           9.7662304e-15   search-15/
               406.10109               1.4601311             0.030117108               1.0481902           1.0189554e-05           4.5352813e-15   search-16/
               426.01646               1.4435162             0.028472848               1.1482092           8.3287999e-06           3.5752065e-15   search-17/
               445.93374                1.427008             0.027025953               1.2482322           6.4972154e-06           8.9084355e-15   search-18/
               465.84759               1.4098411             0.025762647               1.3482735           5.2724358e-06           9.1185476e-15   search-19/
               485.74613               1.3895486             0.024707654               1.4484257           5.5127281e-06           4.2916775e-16   search-20/
               490.71492               1.3825508             0.024502259               1.4735828           1.8128109e-06           3.9461495e-16   search-23/
               494.64239               1.3732823             0.024418453               1.4939075           1.6857866e-06           5.0361406e-16   search-25/
